ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1548890	Brassicibacter thermophilus	nan	55	Bacteria	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Brassicibacter
1096341	Fonticella tunisiensis	nan	55	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Fonticella
2224	Methanothrix thermoacetophila	Z-517	55	Archaea	Euryarchaeota	Methanomicrobia	Methanotrichales	Methanotrichaceae	Methanothrix
291048	Caminibacter mediatlanticus	nan	55	Bacteria	Campylobacterota	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Caminibacter
1565	Desulfotomaculum nigrificans	nan	55	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Desulfotomaculum
142584	Meiothermus rosaceus	nan	55	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus
1339250	Meiothermus taiwanensis	nan	55	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus
1938353	Desulfothermobacter acidiphilus	nan	55	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Desulfothermobacter
79270	Desulfurella kamchatkensis	nan	54	Bacteria	Campylobacterota	Desulfurellia	Desulfurellales	Desulfurellaceae	Desulfurella
227476	Anoxybacillus kestanbolensis	nan	52,5	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
2078954	Bacillus manusensis	nan	52,5	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus
265546	Anoxybacillus ayderensis	nan	50	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
1245522	Bacillus thermophilus	nan	50	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Siminovitchia
409997	Anoxybacillus bogrovensis	nan	65	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
454194	Pyrinomonas methylaliphatogenes	nan	65	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Pyrinomonadaceae	Pyrinomonas
1294262	Sulfuracidifex tepidarius	IC-006	65	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfuracidifex
1294262	Sulfuracidifex tepidarius	IC-007	65	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfuracidifex
392844	Desulfothermus naphthae	nan	62,5	Bacteria	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfohalobiaceae	Desulfothermus
1426	Geobacillus thermoglucosidasius	nan	62	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Parageobacillus
634956	Parageobacillus thermoglucosidasius	C56-YS93	62	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Parageobacillus
771855	Anoxybacillus salavatliensis	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
1560	Clostridium thermoautotrophicum	nan	56,5	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
1750597	Inmirania thermothiophila	nan	65	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Inmirania
1246530	Calderihabitans maritimus	nan	65	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Calderihabitans
1515	Acetivibrio thermocellus	nan	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio
373903	Halothermothrix orenii	H 168	60	Bacteria	Bacillota	Clostridia	Halanaerobiales	Halanaerobiaceae	Halothermothrix
261685	Thermosinus carboxydivorans	nan	60	Bacteria	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Thermosinus
670487	Oceanithermus profundus	506, DSM 14977	60	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Oceanithermus
