CCUG Number	cond
62153T	Chocolate agar, anaerobic, 37°C, 48h
62154T	Chocolate agar, anaerobic, 37°C, 48h
62110T	Marine agar, aerobic, 30°C, 4-5 days
62112T	Marine agar, aerobic, 30°C, 7 days
62113T	Marine agar, aerobic, 30°C, 3 days
62114T	Marine agar, aerobic, 30°C, 3 days
62053T	Chocolate agar, CO2, 37°, 3 days
62025T	Chocolate agar, microaerophilic, 37°C, 48h
62000T	Marine or blood, 20°, 3-4 days
61948T	Marine agar, aerobic, 30°C, 48-72h
61920T	Marine agar, aerobic, 30°C, 48-72h
61909T	Chocolate agar, aerobic, 30°C, 3 days
61914T	Chocolate agar, CO2, 37°C, 7 days
61889T	Marine agar, aerobic, 30°C
61890T	Marine agar, aerobic, 30°C, 48h
61959T	Blood agar, aerobic 30°C, 24h
61961T	Blood agar, aerobic 37°C, 24h
61966T	Blood agar, aerobic 30°C, 24h
61972T	Blood agar, aerobic 30°C, 24h
61792T	Chocolate agar, aerobic, 37°C, 48h
61767T	R2A agar, aerobic, 30°C
61707T	Chocolate agar, microaerobic, 37°C, 48h
61694T	R2A agar, aerobic, 30°C, 48h
61695T	TGE agar with methanol spread over the agar surface, aerobic, 30°C
61696T	R2A or TGE agar, aerobic, 30°C, 48-72h
61697T	Marine agar+MeOH, aerobic, 30°C, 48h
61687T	Marine agar with methanol spread over the surface, aerobic, 30°C, <3 days
