CCUG Number	cond
36877T	Blood agar, aerobic, 37°C
36878T	Blood agar, aerobic, 37°C
36881T	NA
36813T	Blood agar, aerobic, 37°C
36819T	Chocolate or FAA agar, anaerobic, 30°C|No growth in CO2
36788T	NA
36790T	NA
36763T	NA
36754T	Blood agar, anaerobic or CO2, 37°C, 48h
36733T	NA
36689T	NA
36690T	Blood agar, aerobic, 30°C
36691T	Blood agar, aerobic, 30°C
36672T	Blood agar, 37°C
36637T	NA
36622T	NA
36626T	NA
36550T	Blood agar, anaerobic, no need for an adjacent Staphylococcus
35983T	Blood agar, CO2, 37°C or MRS agar, anaerobic, 37°C
35957T	NA
35770T	NA
35728T	NA
35729T	Blood agar or chocolate agar, anaerobic, 37°C
35730T	Blood agar, aerobic, 30-37°C
35732T	Blood agar, aerobic, 37°C, 48-72h
35717T	NA
35685T	NA
35676T	NA
35604T	Blood agar (or chocolate agar), CO2 or anaerobic, 37°C
35596T	BHI agar (or blood agar or chocolate agar), aerobic, CO2 or anaerobic, 30-37°C
35572T	NA
35503T	Blood agar, aerobic, 30°C, 72h
35504T	Medium 198pl, aerobic, 30°C|R2A agar, aerobic, 30°C, 3-7 days|No growth on blood agar
35459T	FAA agar, anaerobic, 37°C
35506T	TSA medium or blood agar, aerobic, 30°C
35507T	Blood agar, aerobic, 30°C
35508T	Blood agar or nutrient agar, aerobic, 30°C
35509T	Blood agar or nutrient agar, aerobic, 30°C
35510T	Blood agar or nutrient agar, aerobic, 30°C
35511T	Blood agar or nutrient agar, aerobic, 30°C
35512T	Blood agar or nutrient agar, aerobic, 30°C
35513T	Blood agar or nutrient agar, aerobic, 30°C
35514T	TGY agar or blood agar, aerobic, 30°C
35515T	NA
35516T	Blood agar, aerobic, 37°C
36157T	Chocolate agar, CO2
36331T	Blood agar, CO2, 37°C
36451T	Blood or chocolate agar, CO2, 37°C
35435T	Chocolate agar or blood agar, aerobic, 37°C
35436T	Blood agar, CO2, 37°C
35437T	Chocolate agar, CO2, 37°C, 48h
35392T	Blood or nutrient agar, aerobic, 37°C
35382T	NA
35386T	NA
35333T	Chocolate agar, CO2, 37°C
35299T	Blood agar, aerobic, 30-37°C
35234T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
35235T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
35224T	Nutrient agar, aerobic, 37°C
35198T	NCIMB-223, aerobic, 25-30°C, 48h
35199T	Marine agar, aerobic, 15°C
35201T	Blood agar, aerobic, 22°C
35202T	Blood agar, aerobic, 30°C
35204T	Blood agar, aerobic, 30°C
35206T	TGE agar, aerobic, 30°C no growth on blood agar, 30°C
35142T	Blood agar, aerobic, 37°C
35143T	Blood agar, aerobic, 37°C
35144T	Blood agar, aerobic, 37°C
35132T	Blood agar, aerobic, 22°-30°C
35133T	Grows in thioglycolate medium at 18° and 42°C|Grows well between pH 6.8 and 9.0|6-10% NaCl
35103T	Blood agar, aerobic or CO2, 30-37°C
35055T	NA
35026T	Nutrient agar, aerobic, 30°C
34975T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34976T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34977T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34978T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34979T	Blood agar, anaerobic, 37°C
34980T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34981T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34982T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34983T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34985T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34987T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34989T	Bifidobacterium medium with reducing substances, anaerobic, 37°C
34990T	Chocolate agar, anaerobic, 37°C|No growth on MRS agar, anaerobic
34956T	Blood agar or 7H10 agar, aerobic, 37°C, 48-72h
34957T	Chocolate agar, CO2, 37°C
34959T	Chocolate agar, CO2, 37°C
34964T	Nutrient agar, aerobic, 25-30°C
34893T	NA
34874T	Marine agar, aerobic, 10-15°C|Blood agar, aerobic, 20-22°C
34829T	MRS agar, aerobic, 30°C
34832T	NA
34834T	NA
34783T	NA
34784T	NA
34785T	No growth at 44°C
34794T	Blood agar, aerobic, 37°C, 3 days or chocolate agar, CO2, 37°C, 2-3 days, but not at 30°C
34703T	Blood agar, microaerophilic or anaerobic, 37°C, >48h
34643T	Nutrient agar, aerobic, 16-22°C(May be cultivated on blood agar or chocolate agar)
34644T	Chocolate agar, 16-18°C(may also grow on nutrient agar or blood agar), 48-96h
34538T	Blood agar, microaerophilic, 37°C
34595T	Legionella medium, CO2, 30-37°C
34316T	Chocolate agar, anaerobic or CO2, 37°, 48h
34320T	Chocolate agar, anaerobic, 37°C, 48-72h
34287T	NA
34288T	NA
34292T	Chocolate agar, anaerobic, 37°C, 7 days.Extremely fastidious|Growth factors needed.Growth may be slightly stimulated by presence of Staphylococcus
34273T	YM-agar or Sabouraud agar, aerobic, 25-30°C
34274T	Sabouraud agar, aerobic, 25°C
34269T	Chocolate agar, CO2 or anaerobic, 37°C
34270T	Chocolate agar, CO2 or anaerobic, 37°C
34222T	MRS agar, 37°C
34223T	Blood agar, aerobic, 30°-37°C
34226T	Desulfovibrio agar or blood agar, anaerobic, 37°C|No growth under aerobic conditions
34227T	Desulfovibrio agar or blood agar, anaerobic, 37°C|No growth under aerobic conditions
34168T	Blood agar, aerobic, 30°C
34169T	Blood agar, aerobic, 37°C
34136T	NA
34080T	Blood agar, aerobic, 37°C
34073T	NA
33984T	Blood agar or nutrient agar, aerobic, 30-37°C
33938T	Blood agar, aerobic, 30-37°C
33897T	NA
33899T	NA
33904T	Chocolate agar or MRS agar, CO2 or anaerobic
33906T	Blood agar, anaerobic (or CO2), 37°C
33907T	NA
33847T	Blood agar, 30°C or 37°C, 48h|Will not grow properly on charcoal agar
33990T	NA
33852T	NA
33837T	Columbia blood agar, microaerophilic, 42°C (or 37°C)
33450T	Blood agar, microaerophilic, 37°C
33768 AT	Blood agar, microaerophilic, 37°C
33651T	NA
33623T	MRS-medium, anaerobic, 37°C
33624T	Blood agar, CO2 or anaerobic, 37°C
33636T	Blood agar, aerobic, 25-37°C
33637T	Blood agar, microaerophilic, 37°C, extremely fastidious, the use of fresh, high quality blood agar is imperative
33639T	Blood agar, anaerobic, 37°C
33640T	Extremely fastidious|Growth is stimulated by staphylococci
33552T	Chocolate agar, CO2, 37°C
33454T	Blood agar or nutrient agar, 18°-24°C|We do not recommend marine agar
33455T	MRS Agar
33456T	MRS agar, anaerobic, 37°C
33457T	MRS Agar, anaerobic, 30°C|May be grown on blood agar, CO2
33443T	NA
33444T	NA
33445T	NA
33446 AT	Blood agar, aerobic, 30°C, 4 days
33446 BT	NA
33447T	NA
33480T	Blood agar, CO2, 37°C, 48h
33481T	NA
33482T	Blood agar, CO2, 37°C
33419T	NA
33426T	Blood agar, CO2
33392T	Blood agar or chocolate agar, CO2 or anaerobic, 37°C
33394T	Yeast Glucose Agar, 22°C|Chocolate agar or blood agar, 20-30°C, Grows on nutrient agar at 30°C with 0-5(6)% NaCl
33494T	Blood agar or MRS agar, aerobic, 20-25°C
33309T	Blood agar, CO2
33310T	Blood agar, CO2, 37°C
33311T	NA
33313T	NA
33296T	Blood agar, aerobic, 35-37°C
33090T	Blood agar, aerobic, 37°C
33091T	Blood agar, aerobic, 37°C
33092T	Nutrient agar, aerobic, 26°C
33048T	NA
33059T	NA
33026T	NA
33027T	Nutrient agar, aerobic, 30-37°C
33028T	NA
33030T	Nutrient agar, aerobic, 28-37°C
32997T	Blood agar, CO2, 37°C or chocolate agar, anaerobic, 37°C
32998T	NA
32999T	Blood agar, aerobic, 37°C or CO2
33005T	Blood agar, 30-37°C, 48h
33006T	Blood agar, 30-37°C, 48h
32987T	Chocolate agar, anaerobic, 37°C, 48h
32988T	R2A or TGE agar, aerobic, 30°C, 48h
32989T	Chocolate agar, strict anaerobic, 37°C, 2-3 days|May be grown on blood agar|The strain is not very fastidious, but should not be exposed to oxygen
32990T	Chocolate agar, microaerobic or anaerobic, 37°C, 48-72h
32991T	Blood agar or chocolate agar, CO2 microaerobic or anaerobic, 37°C, 48h
32995T	Sabouraud agar or blood agar, aerobic, 30°C
32935T	NA
32936T	NA
32937T	Chocolate agar, anaerobic, 37°C
32944T	NA
32906T	NA
32879T	Chocolate agar, anaerobic, 48h, 37°C|Reduced growth rate on blood agar
32860T	NA
32832T	NA
32792T	NA
32789 AT	NA
32769T	Nutrient agar, aerobic, 28°C
32770T	NA
32772T	Blood agar or nutrient agar, aerobic, 26-30°C
32773T	Nutrient agar, aerobic, 28°C
32775T	NA
32776T	Nutrient agar, aerobic, 28°C
32778T	Nutrient agar, aerobic, 28°C
32779T	Nutrient agar, 28°C
32780T	TGE, aerobic, 22°C or nutrient agar, aerobic, 28°C
32781T	Casein hydrolysate, aerobic, 28°C, add filer-sterilized ammoniumferricitrate
32782T	NA
32759T	NA
32760T	Chocolate agar(0.025% tween-80), anaerobic, 37°C
32755T	ATCC medium 38 Beef liver medium for anaerobes, anaerobic, 37°C
32756T	Blood agar, microaerobic, 37°C
32757T	Blood agar, anaerobic or aerobic with CO2, 37°C
32758T	Blood agar, aerobic with CO2 or anaerobic, 37°C
32732T	Chocolate agar, aerobic, room temperature, >48h
32696T	MRS agar 22-30°C?
32704T	MRS agar (Merck 10660)|Blood agar, aerobic, 30°C is recommended
32630T	NA
32416T	NA
32418T	NA
32420T	NA
32381T	NA
32361T	Chocolate agar+tween, CO2, 37°C
32349T	Blood agar or chocolate agar, anaerobic, 3-4 days|Very fastidious, stimulated by presence of bile, but will grow on standard media without bile
32394T	Chocolate agar, CO2 or anaerobic, 37°C
32401T	Chocolate agar, CO2 or anaerobic, 37°C
32293T	Nutrient agar, aerobic, 25°C
32259T	MRS-medium, CO2 or anaerobic, 30°C
32260T	YGLPB-medium, anaerobic, 30°C
32261T	Chocolate, CO2, 37°C or MRS-medium, anaerobic, 37°C
32246T	Blood agar, CO2, 37°C|No growth anaerobically
32248T	MRS-agar, anaerobic, 30°C, pH5.3|Rogosa agar, CO2, 30-35°C
32250T	Requires acid pH, cysteine and tomato juice factors, anaerobic, 30°C
32251T	MRS agar, 30°C, anaerobic|Excellent growth on MRS-agar adjusted to pH=5.3, anaerobic, 30°C
32252T	Chocolate agar, CO2, 37°C
32253T	Chocolate agar, CO2 or anaerobic, 37°C, 48h
32254T	Chocolate agar, 37°C, CO2, 72h
32228T	MRS-agar, anaerobic, 30-37°C, 24h|Blood agar, CO2, 37°C, 48h
32229T	MRS-agar, pH 5.3, anaerobic, 30°C
32230T	MRS-agar, anaerobic, 37°C, 48h|Chocolate agar, anaerobic, 37°C is not recommended
32231T	Chocolate agar, anaerobic, 37°C, MRS-agar, anaerobic, 37°C gives no growth, Blood agar, CO2 gives no growth
32233T	MRS agar, anaerobic, 30-37°C, will grow at very low pH
32234T	MRS or chocolate agar, anaerobic, 30-37°C
32235T	MRS agar, 30-37°C, anaerobic|Blood agar, CO2
32236T	Chocolate agar, anaerobic, 37°C
32237T	MRS agar 30-37°C, anaerobic|Blood agar, CO2 or anaerobic
32238T	MRS agar, 30-37°C, anaerobic|Chocolate agar, 37°C, anaerobic|Blood agar, CO2, 37°C
32204T	Nutrient agar, +5%NaCl, 30°C
32205T	Blood agar, CO2, 37°C or MRS-agar, anaerobic, 30-37°C
32206T	MRS agar, 22°C
32208T	Nutrient agar with glucose and yeast extract, 30°C|Chocolate agar, CO2 or anaerobic, 37°C, 72h
32209T	YG (Yeast Glucose)-medium, 30°C|MRS-agar of chocolate medium, anaerobic, 72h
32210T	YGLPB (yeast) agar, 30°C
32211T	Excellent growth on rich medium
32212T	MRS-agar, anaerobic, 30°C|Chocolate agar, CO2, 37°C or anaerobic
32213T	Blood agar, CO2, 37°C
32286T	Blood agar or chocolate agar, microaerobic or anaerobic, 37°C
32167T	NA
32103T	Chocolate agar or blood agar, aerobic, 37°C
32105T	Chocolate agar flooded with a few drops of 5% tween 80, aerobic, CO2, 37°
31996T	Blood agar, anaerobic, 37°C(will also grow in CO2)
31961T	Blood agar, aerobic 30°C
31793T	Blood agar, CO2 or anaerobic, 37°C
31728T	NA
31665T	Blood agar, anaerobic, 37°C
31649T	Blood agar, CO2, 37°C
31611T	Blood agar, CO2, 37°C
31484T	TGE, aerobic, 30°C, 3 days
31486T	Blood agar, room temperature, anaerobic, light, 3 days
31450T	MRS-medium, 37°C
31451T	Blood agar, CO2, 37°C|MRS-medium, 37°C
31452T	Blood agar, CO2, 37°C or MRS agar, anaerobic, 37-42°C
31453T	MRS-medium, 37°C
31454T	Blood agar, anaerobic, 37°C (or in CO2 or MRS-medium, 37°C)
31349T	Chocolate agar, anaerobic, 37°C
31350T	Chocolate agar, anaerobic, 37°C, 48h
31351T	Blood agar or chocolate agar, anaerobic, 37°C
31352T	Blood agar, CO2, 37°C
31345T	TGE or blood agar, aerobic, 30°-37°C
31347T	NA
31328T	NA
31331T	Blood agar or MRS agar, CO2 or anaerobic, 37°C
31226 AT	NA
31228 AT	Legionella medium, aerobic, 30°C, 3 days
31229 AT	NA
31230 AT	NA
31231 AT	NA
31232 AT	Legionella medium, CO2, 37°C
31233 AT	Legionella agar, CO2, 37°C
31234 AT	Legionella medium, CO2, 37°C
31192T	NA
31198T	NA
31202T	R2A, aerobic, 30°C, 2 days
31205T	NA
31166T	Chocolate agar or blood agar, add a few drops of 5% tween 80, anaerobic, 37°C, 3 days incubation
31167T	PYG-medium with vitamine K, cysteine-HCl, tween 80, haemin|Chocolate agar or blood agar, anaerobic, 37°C, 48h
31168T	PYG-medium with tween 80, haemin, vitamin K1, cysteine-HCl, anaerobic, 37°C|Fastidious, but grows on chocolate or blood agar, anaerobic, 37°C, 48h
31170T	Chocolate agar, CO2, 37°
31114T	Legionella medium, CO2, 37°
31115T	Legionella medium, 5%CO2, 37°C
31116T	Legionella medium(CYE agar w/10g ACES), 5%CO2, 37°C
31117T	NA
31118T	Legionella medium, 5%CO2, 37°C
31119T	NA
30977T	TGE agar, aerobic, 37-42°C
30886T	NA
30811T	Blood agar or chocolate agar, aerobic or CO2, 37°C
30818T	LMG medium 80, anaerobic, normal artifical light, 25°C, 3 days
30791T	Nutrient agar, 37°C
30792T	Nutrient agar, aerobic, 37°C
30793T	Nutrient agar, 37°C
30794T	Nutrient agar, 37°C
30795T	Nutrient agar, 37°C
30796T	Nutrient agar, aerobic, 37°C
30797T	Nutrient agar, 37°C
30798T	Nutrient agar, aerobic, 37°C
30802T	NA
30722T	MRS agar, anaerobic, 37°C
30723T	Anaerobic, 30°C, MRS-agar
30724T	Chocolate or MRS-agar, anaerobic, 37°C
30725T	MRS-agar, 37°C, anaerobic
30726T	MRS-agar, 37°C, anaerobic
30727T	MRS-agar, 37°C, anaerobic
30717T	NA
30682T	Blood agar, microaerobic, 37°C
30666T	Anaerobic, 30°C, MRS-agar|May be grown on blood agar
30667T	Anaerobic, 30°C, MRS-agar|May be grown on blood agar
30668T	Anaerobic, 30°C, MRS-agar
30669T	MRS agar, anaerobic or blood agar, CO2, 30°C
30670T	Anaerobic, 30°C, MRS-agar
30671T	Anaerobic, 30°C, MRS-agar|Poor growth on blood agar
30672T	Anaerobic, 30°C, MRS-agar|Blood agar clearly inferior to MRS-agar
30673T	Blood agar, CO2, 37°C or MRS agar, anaerobic, 30°C
30621T	30°C, Nutrient agar
30571T	NA
30572T	37°C
30551T	NA
30554T	Chocolate agar, CO2, 37°C|Blood agar, aerobic, 37°C may be used
30555T	37°C|10% horse serum(DSM 303)
30534T	ATCC-38, 26°C, anaerobic|NCIMB-12, 37°C, anaerobic|CCUG
30535T	Blood agar, strict aerobic, 30-37°C
30538T	Nutrient agar, strict aerobic, 37°C
30540T	NA
30511 AT	Blood agar, anaerobic, 37°C, 3 days
30512 BT	NA
30501T	Blood agar, 37°C, CO2
30502T	Blood agar, 37°C, CO2
30503T	Blood agar or Lactobacilli MRS Broth(Oxoid), 30-37°C
30485T	Blood agar, microaerobic or CO2(aerotolerant), 30-37°
30453T	Chocolate agar, CO2, 37°C, 72h
30454T	Chocolate agar, CO2, 37°C
30455T	NA
30456T	Non-selective Legionella medium suitable|37°C
30457T	Non-selective Legionella medium suitable|37°C
30458T	Non-selective Legionella medium suitable|37°C
30459T	Non-selective Legionella medium suitable|37°C
30460T	Non-selective Legionella medium suitable|37°C
30461T	Non-selective Legionella medium suitable|37°C
30417T	NA
30450T	Chocolate agar, aerobic, 37°C (or blood agar, CO2, 37°C)
30340T	Blood agar, aerobic, 30°C
30353T	Blood agar, aerobic, 30°C
30367T	NA
30254T	Blood agar or chocolate agar, anaerobic, 37°C
30198T	MRS agar, 22°C
30199T	ATB Acid Tomato Broth, 22°C|Requires growth factor in tomato juice
30156T	Nutrient agar, aerobic, 30-37°C
30159T	Blood agar, aerobic, 30°C
30161T	Nutrient agar, aerobic, 30°C
30137T	28°C
30138T	MRS agar, anaerobic, 37°C
30139T	Blood agar or MRS agar, CO2 or anaerobic, 37°C
30140T	Grows only on Lactobacillus-agar at 37°C
30141T	30°C
30142T	Chocolate or blood agar, aerobic, 30°C
30143T	30°C
30113T	Blood agar, aerobic or CO2, 30-37°C
30094T	Blood agar, microaerophilic|30°C
30095T	Blood agar, aerobic, 30°C
30096T	Blood agar, microaerophilic, 30°C
30102T	30°C
30103T	25°C
30107T	37°C
30109T	NA
30110T	Blood agar, aerobic, 37°C
30090T	NA
30058T	Chocolate agar or blood agar, anaerobic or CO2
30059T	Chocolate agar, aerobic, 30°C
30060T	Chocolate or blood agar, CO2, 37°C
30061T	NA
30063T	Blood or chocolate agar, CO2, 37°C
30064T	Blood agar, CO2 (or anaerobic), 37°C
30065T	30°C
30066T	Chocolate agar or blood agar, anaerobic or CO2, 37°C
30068T	Blood agar, CO2, 37°C|May be grown anaerobically on MRS agar
30038T	30°C
30039T	30°C
30040T	30°C
30041T	30°C
30042T	Nutrient agar, aerobic, 30°C
29715T	NA
29665T	Legionella medium, CO2, 37C
29666T	NA
29667T	Legionella medium, 37°, 3days
29669T	NA
29670T	Legionella medium, 37°, 2days
29671T	NA
29672T	Legionella medium, CO2, 37°C
29673T	NA
29564T	Blood agar, 30°-37°C
29542T	Blood agar, anaerobic, 37°C
29543T	Nutrient agar, aerobic, 37°C
29544T	NA
29304T	R2A agar, aerobic, 20°C, 2-3 days|Enriched Cytophaga agar(NCIMB)
29291T	Blood agar, aerobic, 30°-37°C
29292T	Blood agar, aerobic, 37°C
29293T	NA
29300T	NA
29301T	NA
29255T	Blood agar, microaerobic, (37°-)42°C, 48-72h|No growth on blood agar, CO2
29261T	Blood agar, microaerophilic, 37°C, 5 days, very fastidious
29262T	Very fastidious.Blood agar, microaerophilic (or CO2), 4-6 days
29263T	Blood agar, microaerophilic, 37°C, 72h
28996T	Nutrient agar, aerobic, 26-42°C
28997T	Nutrient agar or blood agar, aerobic, 30°C (22-37)
28998T	NA
28999T	NA
29000T	Chocolate agar, CO2, 37°C
29001T	Blood agar, aerobic, 30-37°C
29041T	NA
29045T	NA
29062T	Löwenstein-Jensen medium, aerobic, 37°C, 4 weeks (once activated, will grow in 10 days)
29114T	Chocolate agar or 7H10 agar, aerobic, 37°, 10 days
29115T	NA
28958T	MUCL-MYA2, 20°C
28903T	Chocolate agar, anaerobic, 37°C
28880T	NA
28881T	Blood agar, aerobic, 37°C.No growth on TGE agar
28882T	TGE agar, aerobic, 20-30°C
28883T	Blood agar, aerobic, 30°C
28884T	NA
28886T	NA
28887T	TSA, aerobic, 56°C
28888T	NA
28889T	TGE, aerobic, 30-37°C, 48h
28890T	TGE, aerobic, 56°C
28831T	Blood agar, CO2 or anaerobic, 37°C
28833T	Blood agar, CO2, 37°C
28805T	Marine agar or blood agar, aerobic, 30-37°C
28791T	NA
28792T	Chocolate agar, CO2
28793T	NA
28794T	NA
28779T	Chocolate agar, CO2, 37°C, Blood agar in not recommended
28783 AT	NA
28746T	Blood agar, CO2 or anaerob, 37°C.No growth on MRS agar anaerobically
28588T	Blood agar, CO2, 37°C
28583T	Cultivate at 26°C
28584T	Marine Medium, 26°C or Nutrient agar with 3% NaCl(CECT)
28585T	Marine agar, aerobic, 30°C
28514T	NA
28515T	Blood agar, aerobic, 37°C
28516T	TSA, aerobic, 30°C
28517T	Blood agar, aerobic, 37°C
28519T	NA
28520T	NA
28521T	ATCC medium 573, aerobic, 56°C, 4 days
28522T	NA
28523T	Blood agar, aerobic, 30°C
28524T	NA
28525T	NA
28527T	NA
28439T	Chocolate agar, 37°C, CO2(CCUG) or MRS agar, 30°C(DSM)
28380T	NA
28332T	NA
28333T	NA
28285 BT	Blood agar, aerobic, 30-37°C
28149T	Blood agar, anaerobic or CO2, 37°C
28087T	NA
28088T	Chocolate agar, anaerobic, 37°C, 48h
28089T	Blood agar, anaerobic, 37°C
28091T	Chocolate agar, anaerobic, 37°C
28093T	Chocolate agar, anaerobic, 37°C, 2-4 days
28094T	Blood agar, CO2, 37°C, 24h
28028T	NA
28030T	NA
28005T	7H10 agar, CO2, 6 days
28008T	Chocolate agar or Lövenstein-Jensen medium, CO2, 37°C
28009T	Chocolate or 7H10 agar, CO2, 37°C
27973T	Löwenstein-Jensen (or blood agar), aerobic, 37°C
27976T	Chocolate agar, CO2, 37°C, 4-5 days
27949T	NA
27904T	NA
27888T	Blood agar, CO2, 37°C
27894T	Blood agar, aerobic, 37°C
27876T	TGE agar, aerobic, 30°C, 72h
27877T	NA
27879T	TGE, TSA or blood agar, aerobic, 30°C
27880T	NA
27843T	NA
27816T	Chocolate agar or blood agar, anaerobic, 37°C
27817T	NA
27819T	NA
27820T	Trypticase soy agar, 30°C
27821T	Blood agar, aerobic, 30°C
27824T	Blood agar, anaerobic, 37°C, 3d
27825T	Blood agar, anaerobic, 37°C
27827T	Chocolate agar, anaerobic, 37°C, 3days
27809T	Chocolate agar, CO2 or anaerobic, 37°C
27778T	NA
27787T	Chocolate or 7H10 agar, CO2, 37°C, 7-10 days
27720T	Anaerobic, 37°C
27700T	NA
27702T	NA
27661T	Blood agar, 37°C
27639T	Chocolate agar, CO2, 37°C
27640T	Blood agar, aerobic, 37°C
27642T	Blood agar, aerobic, 37°C
27643T	Blood agar, 37°C
27653T	NA
27654T	NA
27628T	NA
27579T	NA
27535T	Blood agar, CO2, 37°C
27538T	Nutrient agar or blood agar, aerobic, 30-42°C
27539T	Blood agar, CO2, 37°C
27542T	NA
27545T	Blood agar, CO2, 37°C
27502T	NA
27420T	Chocolate agar (or blood agar), anaerobic (or CO2), 37°C, growth may be stimulated by presence of oleic acid
27413T	TSA, aerobic, 56°C, 24h
27414T	Blood agar, aerobic, 37°C
27415T	NA
27296T	Blood agar, aerobic, 37°C
27297T	NA
27298T	NA
27299T	CO2 enhances growth|Starch negative
27300T	NA
27301T	Blood agar, 37°C
27302T	NA
27303T	Blood agar, aerobic, 30-37°C
27290T	NA
27291T	Blood agar, aerobic, 30°C
27294T	Blood agar, CO2, 37°C, 48-72h
27201T	Chocolate agar or blood agar, anaerobic or CO2
27187T	NA
27188T	BHI agar, aerobic, 37°C
27189T	NA
27190T	Blood agar, CO2, 37°C
27191T	NA
27192T	Chocolate agar, CO2, 37°C
27193T	Blood agar, 37°C
27126T	NA
27119T	NA
27074T	NA
26883T	NA
26876T	Chocolate agar, CO2, 37°C
26877T	Chocolate (or blood) agar, aerobic (CO2), 30-37°C
26751T	NA
26767T	Nutrient agar, aerobic, 37°C
26769T	Nutrient agar, 30-37°C, aerobic
26678T	Nutrient agar, aerobic, 30-37°C
26647T	BHI or TSA, aerobic, 30°C(CCUG), Special medium strongly recommended(depositor)
26625 BT	NA
26493T	NA
26456T	Nutrient agar, aerobic, 37°C
26390T	NA
26359T	NA
26329T	Nutrient agar, aerobic, 30-37°C
26331T	NA
26241T	55°C|Nutrient agar
26015T	NA
26016T	NA
26017T	Thermophilic, 65°C, Chemolithotrophic growth with hydrogen
25939T	NA
25942T	Nutrient agar, aerobic, 30-37°C
25927T	NA
25928T	Chocolate agar, anaerobic, 37°C, 4days
25893T	Brucella blood agar, anaerobic, 37°C, 7 days|High quality medium is essential
25894T	Blood agar, aerobic, 30°C
25714T	NA
25715T	Blood agar, microaerobic, 42°C
25716T	Chocolate agar, air or CO2, 37°C|No growth on blood agar
25735T	Blood or chocolate agar, CO2, 37°C
25608T	NA
25588T	Nutrient agar, aerobic, 37°C
25589T	NA
25348T	Blood agar, CO2, 37°C
25351T	Blood agar, aerobic, 37°C
25230T	NA
25231T	NA
25232T	Nutrient agar, aerobic, 24-35°C
25036T	NA
24889T	NA
24890T	Blood agar, CO2, 37°C
24891T	NA
24893T	NA
24851T	NA
24852T	NA
24862T	Blood agar, CO2, 37°C
24742T	NA
24716T	Blood agar or chocolate agar, anaerobic|37°C, 3 days
24694T	NA
24695T	Nutrient agar, aerobic, 26-37°C
24605T	NA
24606T	NA
24607T	MRS agar, anaerobic, 48h
24608T	NA
24609T	NA
24610T	Blood agar, anaerobic, 37°C
24564T	NA
24567T	Blood agar, microaerophilic, 37-42°C
24229T	Lipophilic, oil should be added to medium, Sabouraud agar, aerobic, 30-37°C with added oleic acid, 3 days
24194T	NA
24087T	NA
24088T	Nutrient agar, 22-42°C
24033T	NA
24035T	Blood agar, anaerobic, 37°C
24037T	NA
24038T	Chopped meat medium with carbohydrates, anaerobic, 37°C|Blood agar, anaerobic, 37°C
24039T	NA
24040T	Blood agar, anaerobic, 37°C
24041T	Easily grown
23945T	Chocolate agar, CO2, 37°C
23947T	Blood agar, microaerophilic, 30°C, no groth in CO2
23886T	Chocolate agar, CO2, 37°C
23888T	Nutrient agar, aerobic, 22-37°C
23889T	NA
23893T	Blood agar, aerobic, 30°C
23897T	NA
23914T	NA
23929T	Blood agar or chocolate agar, 37°C, CO2
23930T	Chocolate agar, CO2, 37°C
23840T	Nutrient agar, aerobic, 22-37°C
23842T	Nutrient agar, aerobic, 26°C
23843T	Blood agar, aerobic, 22-30°CSUPPLY
23845T	Requires the 'terregens factor'
23848T	Nutrient agar, aerobic, 30°C
23849T	NA
23850T	NA
12838T	NA
23603T	NA
23611T	NA
23365T	Blood agar, aerobic, 30°C
23367T	Nutrient agar, aerobic, 28°C
23368T	Nutrient agar, 28°C
23369T	NA
23372T	TGE agar, aerobic, 22-30°C
23255T	Blood agar, 37°C
23256T	NA
23171T	NA
22894T	Nutrient agar, aerobic, 28°C, chemolithotrophic growth on hydrogen
15598T	Blood agar, aerobic, 37°C
22397T	NA
22400T	Blood agar, aerobic, 30°C
21990T	NA
21975T	Grows well on nutrient agar, 28°C
21976T	Difficult (slow) to grow ! GYCA 24°C
21953T	Blood agar, CO2, 37°C
21957T	Chocolate agar or blood agar, aerobic, 37-42°C
21961T	NA
21965T	Chocolate agar (or blood agar), anaerobic, 30°C
21966T	NA
21927T	Brucella blood agar, anaerobic, 37°C
21841T	Chocolate agar, anaerobic, 37°C
21801T	NA
21811T	NA
21815T	NA
21532T	NA
21533T	NA
21558T	Chopped meat medium, anaerobic, 37°C
21451T	NA
21452T	Blood agar, CO2 or anaerobic, 37°C
21370T	NA
21054 AT	Chocolate agar (or blood agar), anaerobic, 37°C, 48-72h
21055T	NA
21024T	Chocolate agar, anaerobic, 37°C, 48h
21025T	Blood agar or chocolate agar, anaerobic, 37°C, 48h, extremely sparce growth
21027T	Requires vitamin K
21028 AT	Chocolate agar, anaerobic, slightly stimulated by staphylococci, growth is slow and sparce, 37°C, 7 days
21018T	Very slow groth(4-8 days) and fastidious
21047T	Chocolate agar, CO2, >5 days
21001T	Chocolate or 7H10 agar, CO2 or aerobic, 37°C
21002T	Blood agar, CO2, 30-37°C, 48-72h
