Source_ID	ncbiTaxID	Name	Type	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
96	2148	Acholeplasma laidlawii	growth	37	Bacteria	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma
97	2148	Acholeplasma laidlawii	growth	37	Bacteria	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma
98	591001	Acidaminococcus fermentans	growth	37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
99	1120921	Acidaminococcus intestini	growth	37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus
100	33025	Phascolarctobacterium faecium	growth	37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
101	33025	Phascolarctobacterium faecium	growth	37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
102	33025	Phascolarctobacterium faecium	growth	37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
103	40841	Succiniclasticum ruminis	growth	37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum
103	40841	Succiniclasticum ruminis	growth	39	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum
104	2775030	Succiniclasticum sp.	growth	37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum
105	78120	Succinispira mobilis	optimum	37	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succinispira
106	53635	Acidimicrobium ferrooxidans	optimum	45.0-50.0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium
108	1121877	Ferrimicrobium acidiphilum	optimum	35	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrimicrobium
109	1121881	Ferrithrix thermotolerans	optimum	43	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrithrix
110	467091	Ilumatobacter fluminis	growth	28	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter
111	920	Acidithiobacillus ferrooxidans	growth	30	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
112	920	Acidithiobacillus ferrooxidans	growth	30	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
113	920	Acidithiobacillus ferrooxidans	growth	30	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
114	920	Acidithiobacillus ferrooxidans	growth	30	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
115	920	Acidithiobacillus ferrooxidans	growth	28	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
116	920	Acidithiobacillus ferrooxidans	growth	28	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
117	920	Acidithiobacillus ferrooxidans	growth	30	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
118	243159	Acidithiobacillus ferrooxidans	growth	25	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
119	160808	Acidithiobacillus ferrivorans	growth	25	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
120	920	Acidithiobacillus ferrooxidans	growth	28	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
120	920	Acidithiobacillus ferrooxidans	growth	30	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
121	930	Acidithiobacillus thiooxidans	growth	26	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
121	930	Acidithiobacillus thiooxidans	growth	30	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
122	930	Acidithiobacillus thiooxidans	growth	28	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
123	930	Acidithiobacillus thiooxidans	growth	28	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
124	930	Acidithiobacillus thiooxidans	growth	30	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
125	930	Acidithiobacillus thiooxidans	growth	25	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
