ncbiTaxID	Genome	Superkingdom	Phylum	Class	Order	Family	Genus
42895	GCA_009360515.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
42895	GCA_017999635.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
42895	GCA_018000095.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
42895	GCA_018364845.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
42895	GCA_018376065.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
42895	GCA_022728975.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
42895	GCA_022795755.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
44250	GCA_011009465.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_015845605.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_015845705.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026786845.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026794095.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026797055.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026797075.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026797385.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026797595.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026797655.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026797725.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
44250	GCA_026797755.1	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
54061	GCA_023512795.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
56818	GCA_009360475.1	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus
67855	GCF_004569585.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Muribacter
88719	GCA_900475815.1	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
88719	GCA_000818035.1	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
89187	GCF_000152625.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius
100886	GCF_902362575.1	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Catenibacterium
103892	GCF_003992115.1	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
158500	GCF_001742225.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
213585	GCA_000970205.1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
214482	GCA_900113545.1	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
225937	GCA_000166295.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter
243160	GCA_000011705.1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
243164	GCA_000011905.1	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides
290513	GCA_010912735.1	Bacteria	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Prosthecochloris
