Temp	Name	Strain
37	Chlamydia pecorum	
37	Chlamydia pneumoniae	
37	Chlamydia suis	
37	Chlamydia trachomatis	
37	Chromohalobacter salexigens	
37	Citrobacter amalonaticus	
37	Citrobacter braakii	
37	Citrobacter farmeri	
37	Citrobacter freundii	
37	Citrobacter koseri	
37	Citrobacter rodentium	
37	Clostridium beijerinckii	
37	Clostridium cellulovorans	
37	Clostridium chauvoei	
37	Clostridium formicaceticum	
37	Clostridium ljungdahlii	
37	Clostridium pasteurianum	
37	Clostridium tetani	
37	Corynebacterium aquilae	
37	Corynebacterium atypicum	
37	Corynebacterium phocae	
37	Corynebacterium pseudotuberculosis	
37	Corynebacterium resistens	
37	Corynebacterium simulans	
37	Corynebacterium singulare	
37	Corynebacterium sphenisci	
37	Corynebacterium striatum	
37	Corynebacterium urealyticum	
37	Corynebacterium ureicelerivorans	
37	Desulfarculus baarsii	
37	Desulfitobacterium hafniense	
37	Desulfobacca acetoxidans	
37	Desulfomonile tiedjei	
37	Desulfosporosinus orientis	
37	Desulfotomaculum acetoxidans	
37	Desulfotomaculum reducens	
37	Desulfotomaculum ruminis	
37	Desulfovibrio piger	
37	Edwardsiella hoshinae	
37	Edwardsiella tarda	
37	Escherichia coli	
37	Escherichia fergusonii	
37	Eubacterium limosum	
37	Fibrobacter succinogenes	
37	Filifactor alocis	
37	Flavobacterium indicum	
37	Francisella tularensis	
37	Halanaerobium praevalens	
37	Helicobacter bilis	
37	Helicobacter cinaedi	
37	Helicobacter felis	
37	Helicobacter hepaticus	
37	Helicobacter mustelae	
37	Helicobacter pylori	
37	Helicobacter typhlonius	
37	Kutzneria albida	
37	Lactobacillus mucosae	
37	Micrococcus luteus	
37	Mycobacterium africanum	
37	Mycobacterium bovis	
37	Mycobacterium fortuitum	
37	Mycobacterium intracellulare	
37	Mycobacterium kansasii	
37	Mycobacterium leprae	
37	Mycobacterium tuberculosis	
37	Mycoplasma agalactiae	
37	Mycoplasma arginini	
37	Mycoplasma arthritidis	
37	Mycoplasma bovis	
37	Mycoplasma bovoculi	
37	Mycoplasma californicum	
37	Mycoplasma canadense	
37	Mycoplasma canis	
37	Mycoplasma capricolum	
37	Mycoplasma cynos	
37	Mycoplasma dispar	
37	Mycoplasma fermentans	
37	Mycoplasma flocculare	
37	Mycoplasma gallisepticum	
37	Mycoplasma genitalium	
37	Mycoplasma hominis	
37	Mycoplasma hyopneumoniae	
37	Mycoplasma hyorhinis	
37	Mycoplasma leachii	
37	Mycoplasma mycoides	
37	Mycoplasma penetrans	
37	Mycoplasma pneumoniae	
37	Mycoplasma pullorum	
37	Mycoplasma pulmonis	
37	Mycoplasma putrefaciens	
37	Mycoplasma synoviae	
37	Mycoplasma yeatsii	
37	Parvimonas micra	
37	Plesiomonas shigelloides	
37	Porphyromonas asaccharolytica	
37	Porphyromonas gingivalis	
37	Proteus mirabilis	
37	Proteus vulgaris	
37	Providencia rettgeri	
37	Providencia stuartii	
37	Riemerella anatipestifer	
37	Roseburia hominis	
37	Salmonella bongori	
37	Salmonella enterica	
37	Shigella dysenteriae	
37	Shigella sonnei	
37	Spiroplasma culicicola	
37	Spiroplasma mirum	
37	Staphylococcus lutrae	
37	Streptococcus agalactiae	
37	Streptococcus anginosus	
37	Streptococcus constellatus	
37	Streptococcus cristatus	
37	Streptococcus dysgalactiae	
37	Streptococcus equi	
37	Streptococcus gallolyticus	
37	Streptococcus gordonii	
37	Streptococcus infantarius	
37	Streptococcus intermedius	
37	Streptococcus lutetiensis	
37	Streptococcus oralis	
37	Streptococcus parasanguinis	
37	Streptococcus pasteurianus	
37	Streptococcus pneumoniae	
37	Streptococcus pyogenes	
37	Streptococcus salivarius	
37	Streptococcus sanguinis	
37	Streptococcus suis	
37	Streptococcus uberis	
37	Syntrophobacter fumaroxidans	
37	Tannerella forsythia	
37	Treponema pallidum	
37	Treponema putidum	
37	Treponema succinifaciens	
37	Tropheryma whipplei	
37	Wolinella succinogenes	
37,5	Clostridium baratii	
37,5	Desulfitobacterium dehalogenans	
37,5	Eggerthella lenta	
37,5	Mycobacterium goodii	
37,5	Parascardovia denticolens	
37,5	Selenomonas ruminantium	
37,5	Selenomonas sputigena	
37,5	Staphylococcus sciuri	
37,5	Virgibacillus halodenitrificans	
38	Brachyspira hyodysenteriae	
38	Brachyspira intermedia	
38	Brachyspira murdochii	
38	Brachyspira pilosicoli	
38	Clostridium carboxidivorans	
38,5	Desulfohalobium retbaense	
38,5	Halorhodospira halophila	
38,5	Megasphaera elsdenii	
39	Acetohalobium arabaticum	
39	Bifidobacterium adolescentis	
39	Bifidobacterium angulatum	
39	Bifidobacterium bifidum	
39	Bifidobacterium breve	
39	Bifidobacterium catenulatum	
39	Bifidobacterium coryneforme	
39	Bifidobacterium dentium	
39	Bifidobacterium indicum	
39	Bifidobacterium longum	
39	Bifidobacterium pseudocatenulatum	
39	Bifidobacterium pseudolongum	
39	Bifidobacterium scardovii	
39	Bifidobacterium thermophilum	
39	Nitrospira moscoviensis	
39	Pasteurella multocida	
39,5	Mycobacterium avium	
39,5	Ruminococcus albus	
40	Bifidobacterium animalis	
40	Cellulosilyticum lentocellum	
40	Halobacteroides halobius	
40	Pediococcus acidilactici	
40	Salinibacter ruber	
40	Slackia heliotrinireducens	
40,25	Scardovia inopinata	
42	Methylobacillus flagellatus	
42,5	Saccharomonospora viridis	
44	Thermobifida fusca	
45	Acidithiobacillus caldus	
45	Clostridium novyi	
45	Clostridium perfringens	
45	Isosphaera pallida	
45	Methylococcus capsulatus	
