ncbiTaxID	Source_ID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
45514	CECT 11498	Zygoascus tannicola	CBS 6065	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Zygoascus
45515	CECT 11499	Yamadazyma triangularis	CBS 4094	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Yamadazyma
4931	CECT 11534	Saccharomyces bayanus	Esteve VAWQ06	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4931	CECT 11583	Saccharomyces bayanus	Esteve VBWS04	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11602	Saccharomyces cerevisiae	Esteve VEWQ10	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11616	Saccharomyces cerevisiae	Esteve VEWR05	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4909	CECT 11618	Pichia kudriavzevii	Esteve VFWQ02	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
4932	CECT 11621	Saccharomyces cerevisiae	Esteve VFWR03	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4931	CECT 11626	Saccharomyces bayanus	Esteve VFWR08	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4931	CECT 11630	Saccharomyces bayanus	Esteve VFWS03	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11642	Saccharomyces cerevisiae	Esteve VAWQ20	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11650	Saccharomyces cerevisiae	Esteve VBWQ25	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11652	Saccharomyces cerevisiae	Esteve VBWQ27	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11653	Saccharomyces cerevisiae	Esteve VCWQ20	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 11661	Saccharomyces cerevisiae	Esteve VCWQ28	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
