CCUG Number	Strain	Source	Depositor	Deposit Date
69896T	Paenibacillus senegalimassiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2016-11-25
69858T	Auricoccus indicus	Healthy skin, human ear	R.Sharma, CSIR-IGIB, New Delhi, India	2016-11-17
69806T	Kingella negevensis	oropharynx of healthy children	F.Cadoret, Timone, Marseille, France	2016-11-16
69835 #T	Parabacteroides phocaeensis	Clinical sample	F.Cadoret, Timone, Marseille, France	2016-11-10
69738T	Bacillus massiliogabonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2016-10-21
69739T	Bacillus phocaeensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2016-10-21
69700T	Acinetobacter harbinensis	River water	A.Nemec, Prague, Czech Republic	2016-10-17
69701T	Acinetobacter guangdongensis	Lead-zink ore mine	A.Nemec, Prague, Czech Republic	2016-10-17
69702T	Acinetobacter indicus	Hexachlorocyclohexane dump site	A.Nemec, Prague, Czech Republic	2016-10-17
69703T	Acinetobacter kookii	Soil	A.Nemec, Prague, Czech Republic	2016-10-17
69706T	Acinetobacter oryzae	Wild rice, Oryza alta	A.Nemec, Prague, Czech Republic	2016-10-17
69707T	Acinetobacter pakistanensis	Textile dyeing wastewater treatment pond	A.Nemec, Prague, Czech Republic	2016-10-17
69709T	Acinetobacter puyangensis	Populus bark	A.Nemec, Prague, Czech Republic	2016-10-17
69710T	Acinetobacter qingfengensis	Populus bark	A.Nemec, Prague, Czech Republic	2016-10-17
69678T	Anaerococcus nagyae	Blood culture, human	ACM.Veloo, Groningen, The Netherlands	2016-10-12
69679T	Anaerococcus degenerii	Abdominal abscess, human	ACM.Veloo, Groningen, The Netherlands	2016-10-12
69665T	Rodentibacter ratti	Chicken	H.Christensen, KVL, Copenhagen, Denmark	2016-10-11
69666T	Rodentibacter myodis	Myodes glareolus, nasopharynx, Bank voles	H.Christensen, KVL, Copenhagen, Denmark	2016-10-11
69667T	Rodentibacter heidelbergensis	Rat, lung	H.Christensen, KVL, Copenhagen, Denmark	2016-10-11
69669T	Rodentibacter mrazii	Apodemus sylvaticus, nasopharynx, rodent	H.Christensen, KVL, Copenhagen, Denmark	2016-10-11
69661T	Tuwongella immobilis	Lake water	B.Yee, ICM-BMC, Uppsala, Sweden	2016-10-07
69621T	Streptococcus phocae subsp. salmonis	Atlantic salmon, Salmo salar	N R Aznar, CECT, Valencia, Spain	2016-09-29
69622T	Acidipropionibacterium olivae	Brine, green olives, non pasteurized	N R Aznar, CECT, Valencia, Spain	2016-09-29
69625T	Acinetobacter dijkshoorniae	Human urine	N R Aznar, CECT, Valencia, Spain	2016-09-29
69612T	Streptococcus ovuberis	Sheep, breast content	A.I.Vela, UCM, Madrid, Spain	2016-09-28
69613 #T	Neisseria abscessus	Sheep, mandibular abscess	A.I.Vela, UCM, Madrid, Spain	2016-09-28
69580T	Pseudomonas jinjuensis	Agricultural soil	KR, KACC, Kwon Soon-Wo	2016-09-26
69581T	Pseudomonas pohangensis	Seashore sand	KR, KACC, Kwon Soon-Wo	2016-09-26
69583T	Pseudomonas taeanensis	Seashore, oil-contaminated	KR, KACC, Kwon Soon-Wo	2016-09-26
69584T	Acinetobacter apis	Honey bee, intestinal tract (Apis mellifera)	KR, KACC, Kwon Soon-Wo	2016-09-26
69570T	Campylobacter pinnipediorum subsp. pinnipediorum	Abscess, californian sea lion	W.Miller, USDA, California, USA	2016-09-22
69496T	Elizabethkingia ursingii	Soil	A.Nicholson, CDC, Atlanta, USA	2016-09-14
69503T	Elizabethkingia bruuniana	Human blood	A.Nicholson, CDC, Atlanta, USA	2016-09-14
69505T	Elizabethkingia occulta	Human sputum	A.Nicholson, CDC, Atlanta, USA	2016-09-14
69482T	Campylobacter ornithocola	Fecal sample, wild bird	L Collado, UACH, Valdivia, Chile	2016-09-13
69378T	Streptococcus azizii	Oral cavity, timed-pregnant sheep with litter dead	P.L.Shewmaker, CDC, Atlanta, USA	2016-08-16
69366T	Corynebacterium alimapuense	Marine sediment	Valparaiso, USM, Chile	2016-08-12
69272 #T	Pseudomonas majoricensis	Agricultural soil	J.Lalucat, UIB, Mallorca, Spain	2016-07-13
69273T	Pseudomonas caspiana	Host of Washington Navel Tree(Citrus sp)	J.Lalucat, UIB, Mallorca, Spain	2016-07-13
69277T	Streptococcus bovimastitidis	Milk from cow with mastitis	M Holmes, Cambridge, United Kingdom	2016-07-13
69239T	Acinetobacter celticus	Water with mud	A.Nemec, NIH, Prague, Czech Republic	2016-06-30
69192T	Corynebacterium crudilactis	Raw milk from cow	A.Lipski, Bonn, Germany	2016-06-20
69147T	Jeotgalibaca arthritidis	Pig, articular fluid	AI Vela, Uni Complutense, Madrid, Spain	2016-06-08
69148T	Jeotgalibaca porci	Pig, articular fluid	AI Vela, Uni Complutense, Madrid, Spain	2016-06-08
68999T	Methylobacillus methanolivorans	Activated sludge, drainage system, Baikal papermill	NV Doronina, RAS, Pushchino, Russia	2016-05-02
68986 #T	Helicobacter caesarodunum	Human blood	P.Francois, Geneva, Switzerland	2016-04-29
68920T	Macrococcus canis	Sinusitis, Bernese Mountain dog	V.Perreten, VBI, Bern, Switzerland	2016-04-18
68827T	Enterococcus saigonensis	Meat of chicken	M.Sakamoto, JCM, RIKEN, Japan	2016-03-29
68785T	Acinetobacter lactucae	Lettuce leaf (Lactuca sativa)	C.Dunlap, NRRL, Peoria, USA	2016-03-17
68786T	Bacillus nakamurai	Soil	C.Dunlap, NRRL, Peoria, USA	2016-03-17
68726T	Shigella sonnei		Julie Russell, NCTC, United Kingdom	2016-03-08
68730T	Chryseobacterium taklimakanense	Desert soil	Julie Russell, NCTC, United Kingdom	2016-03-08
68698T	Paludifilum halophilum	Tunisian saline sediment	M.-L.Fardeau, Marseille, France	2016-03-03
68672T	Acinetobacter portensis	Pork meat	Carvalheira, Porto, Portugal	2016-02-29
68674T	Acinetobacter guerrae	Chicken meat	Carvalheira, Porto, Portugal	2016-02-29
68650T	Campylobacter pinnipediorum subsp. caledonicus	Lung abscess, grey seal	G.Foster, SAC, Inverness, Scotland, UK	2016-02-23
68478T	Enterobacter soli	Soil	LMG, Gent, Belgium	2016-01-29
68479T	Streptococcus moroccensis	Raw camel milk	LMG, Gent, Belgium	2016-01-29
68482T	Acinetobacter gandensis	Horse, faeces	LMG, Gent, Belgium	2016-01-29
68430T	Lacrimispora celerecrescens	Methanogenic culture, enriched with cellulose	N R Aznar, CECT, Valencia, Spain	2016-01-22
68431T	Acinetobacter nectaris	Floral nectar, plant species Muscari comosum	N R Aznar, CECT, Valencia, Spain	2016-01-22
68432T	Acinetobacter boissieri	Floral nectar, plant species Muscari comosum	N R Aznar, CECT, Valencia, Spain	2016-01-22
68403T	Burkholderia ptereochthonis	Soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68404T	Burkholderia glebae	Soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68405T	Burkholderia arationis	Soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68406T	Burkholderia pedi	Soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68407T	Burkholderia hypogeia	Soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68408T	Burkholderia calidae	Water	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68409T	Burkholderia fortuita	Rhizosphere soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68410T	Burkholderia temeraria	Rhizosphere soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68411T	Burkholderia catudaia	Rhizosphere soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68412T	Burkholderia arvi	Soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68413T	Burkholderia turbans	Human	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68414T	Burkholderia concitans	Human	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68415T	Burkholderia peredens	Soil	P.A.R.Vandamme, LMG, Gent, Belgium	2016-01-19
68283T	Neisseria musculi	Oral cavity of of a wild caught house mouse	N.Weyand, Athens, Ohio, USA	2015-12-14
68107T	Kroppenstedtia pulmonis	Human lung sample	M.Bell, CDC, Atlanta, USA	2015-11-10
67960T	Acinetobacter courvalinii	Conjunctiva of an agama lizzard	A.Nemec, NIH, Prague, Czech Republic	2015-10-23
67961T	Acinetobacter dispersus	Water of a garden well	A.Nemec, NIH, Prague, Czech Republic	2015-10-23
67962T	Acinetobacter pragensis	Water with mud from wetland	A.Nemec, NIH, Prague, Czech Republic	2015-10-23
67963T	Acinetobacter pseudolwoffi	Water with sediment of a forest creek	A.Nemec, NIH, Prague, Czech Republic	2015-10-23
67964T	Acinetobacter modestus	Human urine, female patient	A.Nemec, NIH, Prague, Czech Republic	2015-10-23
67965T	Acinetobacter proteolyticus	Human ear	A.Nemec, NIH, Prague, Czech Republic	2015-10-23
67966T	Acinetobacter colistiniresistens	Human catheter	A.Nemec, NIH, Prague, Czech Republic	2015-10-23
67967T	Acinetobacter vivianii	Human	A.Nemec, NIH, Prague, Czech Republic	2015-10-23
67887T	Bergeyella porcorum	Pig lung	A.I.Vela, UCM, Madrid, Spain	2015-10-09
67844T	Henriciella algicola	Green algae, Nannochloris sp	W.-R.Abraham, Braunschweig, Germany	2015-09-30
67774 #T	Facklamia porci	Pig, Synovial fluid	A.I.Vela, Univ.Complutense, Madrid, Spain	2015-09-16
67636T	Oblitimonas alkaliphila	Human, deep liver	B.Emery, CDC, Atlanta, USA	2015-08-18
67583T	Halopseudomonas gallaeciensis	Intertidal soil, crude oil contaminated	E.Garcia-Valdés, Palma.Mallorca, Spain	2015-07-31
67440T	Aquitalea pelogenes	Mineral peloides	I.Sedlácek, CCM, Brno, Czech Republic	2015-06-17
67421T	Prevotella colorans	Human wound	M.Buhl, Tübingen, Germany	2015-06-12
67281T	Acinetobacter albensis	Water with organic detritus from a forest pool	A.Nemec, NIH, , Prague, Czech Republic	2015-05-04
67170T	Streptococcus caprae	Iberian Ibex, tonsill sample	A.I.Vela, UCM, Madrid, Spain	2015-04-09
67145T	Bifidobacterium aquikefiri	Water kefir	L.De Vuyst, VUB, Brussels, Belgium	2015-04-02
67100T	Streptococcus halichoeri subsp hominis	Human blood, 67-year-old man with sepsis	P.L.Shewmaker, CDC, Atlanta, USA	2015-03-23
66934T	Henriciella barbaraensis	Filtered seawater	W_R Abraham, Braunschweig, Germany	2015-02-12
66838T	Haematospirillum jordaniae	Human blood	B.Humrighouse, CDC, Atlanta, USA	2015-01-20
66798T	Peptoniphilus catoniae	Human faeces	P.A.Lawson, Oklahoma, USA	2015-01-12
66799T	Citroniella saccharovorans	Human faeces	P.A.Lawson, Oklahoma, USA	2015-01-12
66741T	Scandinavium goeteborgense	Human wound, 38-yr-old Female	Gen Diagn Dept, PHLS, Göteborg, Sweden	2014-12-29
66735T	Porphyromonas pasteri	Human saliva	M.Sakamoto, JCM, RIKEN, Ibaraki, Japan	2014-12-23
66681T	Parabacteroides faecis	Human faeces	M.Sakamoto, JCM, RIKEN, Tsukuba, Ibarki, Japan	2014-12-11
66657T	Lawsonella clevelandensis	Human clinical sample	M.Bell, CDC, Atlanta, USA	2014-12-04
66554T	Mycobacterium saopaulense	Human eye, corneal scraping	S.Cardoso Leao, Sao Paulo, Brazil	2014-11-05
66538T	Legionella busanensis	Cooling tower	Yong-Hyo Chang, KCTC, Daejeon, South Korea	2014-11-03
66539T	Kosakonia arachidis	Peanut root (Arachis hypogaea)	Yong-Hyo Chang, KCTC, Daejeon, South Korea	2014-11-03
66540T	Flaviflexus salsibiostraticola	Biofilm reactor	Yong-Hyo Chang, KCTC, Daejeon, South Korea	2014-11-03
66541T	Aliivibrio sifiae	Seawater	Yong-Hyo Chang, KCTC, Daejeon, South Korea	2014-11-03
66513T	Saccharophagus degradans	Decomposing marsh grass	DSMZ, Braunschweig, Germany	2014-10-29
66514T	Streptococcus tigurinus	Blood culture of endocarditis patient	DSMZ, Braunschweig, Germany	2014-10-29
66515T	Klebsiella michiganensis	Tooth brush holder	DSMZ, Braunschweig, Germany	2014-10-29
66516T	Streptococcus rubneri	Throat, healthy human volunteer	DSMZ, Braunschweig, Germany	2014-10-29
66490T	Streptococcus lactarius	Breast milk, healthy woman	R N Aznar, CECT, Valencia, Spain	2014-10-23
66491T	Streptococcus hongkongensis	Wound, right thumb, punctured by a fish fin	N R Aznar, CECT, Valencia, Spain	2014-10-23
66492T	Streptococcus oralis subsp. dentisani	Human tooth, caries free surface	N R Aznar, CECT, Valencia, Spain	2014-10-23
66496T	Streptococcus cuniculipharyngis	Pharynx wild rabbit	A.I.Vela, UCM, Madrid, Spain	2014-10-23
66484T	Arcobacter faecis	Human septic tank	I.Khan, ORDC, Ottawa, Canada	2014-10-22
66485T	Arcobacter lanthieri	Manure tank, pigs and dairy cattle	IUH Khan, Ottawa, Canada	2014-10-22
66341T	Legionella fairfieldensis	Water, cooling tower	J.Russel, NCTC, UK	2014-09-16
66315T	Clostridium disporicum	Rat cecum	S.Law, Aberdeen, NCIMB, UK	2014-09-11
66298T	Pseudomonas canadensis	Soil	G.J.Tyrell, Edmonton, Alberta, Canada	2014-09-05
66239T	Eudoraea chungangensis	Waste water sludge, aquafarm	Wonyong Kim, CAU, Seoul, Korea	2014-08-22
66203T	Streptobacillus felis	Cat with pneumoniae	T.Eisenberg, LHL, Giessen, Germany	2014-08-12
66188T	Dysgonomonas termitidis	Subterranean termite gut, Reticulitermes speratus	M.Sakamoto, JCM, RIKEN, Wako, Saitama, Japan	2014-08-06
66137T	Hydromonas duriensis	Surface water	C.Manaia, UCP, Porto, Portugal	2014-07-22
66121T	Mycobacterium paraense	Human respiratory sample	Enrico Tortoli, Milan, Italy	2014-07-18
66113 #T	Bifidobacterium mellis	Honey bee	Tobias Olofsson, University of Lund, Sweden	2014-07-16
66114T	Bifidobacterium melliventris	Honey bee	Tobias Olofsson, University of Lund, Sweden	2014-07-16
65942 #T	Prauserella kuwaitensis	Soil, oil contaminated	A.Al-Mutairi, Kuwait Univ, Kuwait	2014-06-11
65936T	Legionella norrlandica	Biopurification tank of wood processing plant	K Rizzardi, FHM, Stockholm, Sweden	2014-06-04
65911T	Prevotella imum	Human periodontal abscess	J.Chen, Fudan Univ, Shanghai, China	2014-06-02
65857T	Enterococcus crotali	Fecal material, Timber rattlesnake	P.L.Shewmaker, CDC, Atlanta, USA	2014-05-19
65815T	Corynebacterium lowii	Human eye	Vandamme P, LMG, Ghent, Belgium	2014-05-07
65816T	Corynebacterium oculi	Human eye	Vandamme P, LMG, Ghent, Belgium	2014-05-07
65711T	Kistimonas alittae	Digestive tract of marine polychaete(Alitta sp)	US, SC, Charleston, Plante Craig	2014-04-10
65685T	Burkholderia singularis	Clinical sample	Vandamme P, LMG, Ghent, Belgium	2014-04-08
65686T	Burkholderia stagnalis	Soil	Vandamme P, LMG, Ghent, Belgium	2014-04-08
65687T	Burkholderia territorii	Water	Vandamme P, LMG, Ghent, Belgium	2014-04-08
65562T	Butyricimonas faecihominis	Human feces	M.Sakamoto, JCM, RIKEN, Wako, Saitama, Japan	2014-03-11
65563T	Butyricimonas paravirosa	Human feces	M.Sakamoto, JCM, RIKEN, Wako, Saitama, Japan	2014-03-11
65564T	Spodiobacter cordis	Human blood	J.Tomida, Nagoya, Japan	2014-03-11
65455T	Corynebacterium nasicanis	Dog nose, swab	H.-J.Busse, Wien, Austria	2014-02-10
65456T	Corynebacterium tapiri	Tonsil of a South American Tapir(Tapirus terrestri	H.-J.Busse, Wien, Austria	2014-02-10
65457T	Massilia norwichensis	Air, Sainsbury Centre for visual Arts	H.-J.Busse, Wien, Austria	2014-02-10
65431T	Methylobrevis pamukkalensis	Saline water	NV Doronina, RAS, Pushchino, Russia	2014-02-06
65426T	Rarimicrobium hominis	Human clinical sample, infected surgical material	H Merchandin, Montpellier, France	2014-02-05
65427T	Veillonella seminalis	Human semen	H. Marchandin, Montpellier, France	2014-02-05
65204T	Acinetobacter equi	Faeces from horse	G.Wilharm, RKI, Wernigerode, DE	2013-12-16
65171T	Atopobium deltae	Human blood, Fournier's gangrene	Vaneechout, Univ of Ghent, Belgium	2013-12-10
65144T	Ursidibacter maritimus	Oral cavity of a wild polar bear	M Hansen, Univ Copenhagen, Denmark	2013-12-05
65145T	Ursidibacter arcticus	Oral cavity of a brown bear	M Hansen, Univ Copenhagen, Denmark	2013-12-05
65146T	Testudinibacter aquarius	Oral cavity of Eastern long-necked turtle	M Hansen, Univ Copenhagen, Denmark	2013-12-05
65147 #T	Lutrinibacter oris	Oral cavity of oriental small-clawed otter	M Hansen, Univ Copenhagen, Denmark	2013-12-05
65148T	Bisgaardia miroungae	Oral cavity of wild northern seal	M Hansen, Univ Copenhagen, Denmark	2013-12-05
65112 #T	Massilia licheniformis	Clay sample	Rene Kaden, SVA, Uppsala, Sweden	2013-11-28
65085T	Streptococcus cunuculi	Nasal sample from wild rabbit	A.I.Vela, UCM, Madrid, Spain	2013-11-22
64955T	Sneathiella chungangensis	Marine sand	Wonyong Kim, CAU, Seoul, South Korea	2013-10-29
64942T	Campylobacter corcagiensis	Faeces from lion-tailed macaque(Macaca silenus)	M.Koziel, CIT, Cork, Ireland	2013-10-25
64792T	Roseovarius aquimarinus	Seawater	Wonyong Kim, CAU, Seoul, Korea	2013-10-01
64793T	Salegentibacter chungangensis	Marine sand	Wonyong Kim, CAU, Seoul, Korea	2013-10-01
64794T	Salinimicrobium soli	Reclaimed land	Wonyong Kim, CAU, Seoul, Korea	2013-10-01
64585T	Vespertiliibacter pulmonis	Lung of a noctule bat (Nyctalus noctula)	K.Mühldorfer, IZW, Berlin, Germany	2013-08-07
64570T	Peptoniphilus stercorisuis	Swine manure storage	Paul A. Lawson, Oklahoma, USA	2013-08-01
64571T	Ezakiella peruensis	Human faeces	P.A.Lawson, Oklahoma, USA	2013-08-01
64483T	Cupriavidus numazuensis	Pristine soil	C.Vereecke, LMG, Gent, Belgium	2013-07-08
64465T	Pelistega suis	Pig tonsils	A Vela, Uni Complutense, Madrid, Spain	2013-07-05
64422T	Pedobacter nutrimenti	Food, chilled	J Derichs, Univ Bonn, Bonn, Germany	2013-06-27
64368T	Burkholderia cordobensis	Soil	W Draghi, Leloir, Buenos Aires, Argentina	2013-06-13
64352T	Rhizobium endolithicum	Endolithic sample	C Sasikala, Odisha, India	2013-06-10
64267T	Falsiporphyromonas endometrii	Bovine uterus	Karen Wagener, Vienna, Austria	2013-05-16
64261T	Gordonibacter urolithinfaciens	Human feces	M V Selma, Murcia, Spain	2013-05-15
64215T	Edwardsiella anguillarum	Japanese eel, diseased	Q Wang, E China Univ Sc Tech, Shanghai, China	2013-05-02
64195T	Clostridium punense	Human faeces, healthy 56-year old male	D.R.Ranade, Agharkar RI, Pune, India	2013-04-26
64197T	Megasphaera elsdenii	Rumen of sheep	D.R.Ranade, Agharkar RI, Pune, India	2013-04-26
64165T	Halopseudomonas aestusnigri	Intertidal sand contaminated by crude oil	Elena Garcia-Valdes, Palma, Spain	2013-04-23
64113T	Bacillus invictae	Medicine product	L.Peixe, Fac.de Farmacia, Porto, Portugal	2013-04-10
64075T	Eisenbergiella tayi	Human clinical sample	I Amir, Tel Aviv University, Israel	2013-03-28
64068T	Actinotignum sanguinis	Human blood	AF Yassin, Univ Bonn, Bonn, Germany	2013-03-26
64069T	Canibacter oris	Human tendon surface, 3rd finger, dog bite	AF Yassin, Univ Bonn, Bonn, Germany	2013-03-26
64011T	Variovorax dokdonensis	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	2013-03-15
64013T	Akkermansia muciniphila	Human feces	C.Bizet, CIP, Institut Pasteur, Paris, France	2013-03-15
64014T	Alicycliphilus denitrificans	Anaerobic sewage sludge	C.Bizet, CIP, Institut Pasteur, Paris, France	2013-03-15
64016T	Acidovorax anthurii	Anthurium leaf-spot	C.Bizet, CIP, Institut Pasteur, Paris, France	2013-03-15
63931T	Peptidiphaga gingivicola	Human subgingival plaque	Columbus, Ohio, USA	2013-02-21
63891T	Paraglaciecola oceanifecundans	Water	S Shivaji, Hyderabad, India	2013-02-12
63842T	Acinetobacter bohemicus	Mud, deciduos forrest	A Nemec, Prague, Czech Republic	2013-01-29
63829T	Aestuariihabitans beolgyonensis	Tidal flat sediment	Jung-Hoon Yoon, SKKU, Suwon, South Korea	2013-01-28
63830T	Jejudonia soesokkakensis	Water, seawter and freshwater junction	Jung-Hoon Yoon, SKKU, Suwon, South Korea	2013-01-28
63831T	Sabulilitoribacter multivorans	Marine sand	Jung-Hoon Yoon, SKKU, Suwon, South Korea	2013-01-28
63832T	Winogradskyella undariae	Brown algae reservoir	Jung-Hoon Yoon, SKKU, Suwon, South Korea	2013-01-28
63821T	Arsenicicoccus piscis	Intestinal tract of fish, Sillago japonica	V Perreten, Inst.Vet.Bact., Berne, Switzerland	2013-01-25
63804T	Paracoccus communis	Sludge from saline source	NV Doronina, RAS, Pushchino, Russia	2013-01-21
63805T	Methylopila oligotropha	Sludge from saline source	NV Doronina, RAS, Pushchino, Russia	2013-01-21
63806T	Ancylobacter defluvii	Sludge from saline source	NV Doronina, RAS, Pushchino, Russia	2013-01-21
63769T	Marinobacter piscensis	Salty food	M.-L.Fardeau, Marseille, France	2013-01-11
63681T	Tenacibaculum halocynthiae	Sea squirt (Halocynthia roretzi)	Jung-Hoon Yoon, Suwon, South Korea	2012-12-17
63682T	Geojedonia litorea	Brown algae reservoir	Jung-Hoon Yoon, SKKU, Suwon, South Korea	2012-12-17
63684T	Algibacter undariae	Brown algae reservoir	Jung-Hoon Yoon, SKKU, Suwon, South Korea	2012-12-17
63629T	Lactobacillus melliventris	Honey bee, honey stomach	Tobias Olofsson, University of Lund, Sweden	2012-12-05
63631T	Lactobacillus kullabergensis	Honey bee, honey stomach	Tobias Olofsson, University of Lund, Sweden	2012-12-05
63633T	Lactobacillus kimbladii	Honey bee, honey stomach	Tobias Olofsson, University of Lund, Sweden	2012-12-05
