ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1502095	Leptospirillum sp.	YQP-1	20.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
1260983	Leptospirillum sp.	Group IV 'UBA BS'	40.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
1660083	Leptospirillum sp.	Group II CF-1	40.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
1920749	Mancarchaeum acidiphilum (Candidatus)	Mia14	37.0	Archaea	Candidatus Micrarchaeota				Candidatus Mancarchaeum	
1978153	Marsarchaeota archaeon G1 (Candidatus)	OSP_B	73.0	Archaea	Candidatus Marsarchaeota					
1978156	Marsarchaeota archaeon G1 (Candidatus)	BE_D	66.0	Archaea	Candidatus Marsarchaeota					
1978155	Marsarchaeota archaeon G1 (Candidatus)	OSP_D	57.0	Archaea	Candidatus Marsarchaeota					
1978154	Marsarchaeota archaeon G1 (Candidatus)	OSP_C	65.0	Archaea	Candidatus Marsarchaeota					
1978164	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_SAG-E12	66.0	Archaea	Candidatus Marsarchaeota					
1978167	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_SAG-G16	66.0	Archaea	Candidatus Marsarchaeota					
1978165	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_SAG-F08	66.0	Archaea	Candidatus Marsarchaeota					
1978161	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_3	66.0	Archaea	Candidatus Marsarchaeota					
1978163	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_SAG-C16	66.0	Archaea	Candidatus Marsarchaeota					
1978160	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_2	66.0	Archaea	Candidatus Marsarchaeota					
1978159	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_1	66.0	Archaea	Candidatus Marsarchaeota					
1978157	Marsarchaeota archaeon G2 (Candidatus)	OSP_D	57.0	Archaea	Candidatus Marsarchaeota					
1978158	Marsarchaeota archaeon G2 (Candidatus)	BE_D	66.0	Archaea	Candidatus Marsarchaeota					
1978166	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_SAG-G06	66.0	Archaea	Candidatus Marsarchaeota					
1978162	Marsarchaeota archaeon G2 (Candidatus)	ECH_B_SAG-M15	66.0	Archaea	Candidatus Marsarchaeota					
1006006	Metallosphaera cuprina	Ar-4	65.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
79601	Metallosphaera hakonensis	JCM 8857	70.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
47304	Metallosphaera prunae	Ron 12/II	75.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
43687	Metallosphaera sedula	CuR1	75.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
43687	Metallosphaera sedula	SARC-M1	75.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
399549	Metallosphaera sedula	DSM 5348	70.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
43687	Metallosphaera sedula	ARS50-2	75.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
43687	Metallosphaera sedula	ARS50-1	75.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
671065	Metallosphaera yellowstonensis	MK1	67.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	
