ncbiTaxID	Name	Strain	Temp
1648	Erysipelothrix rhusiopathiae	nan	33,5
81032	Hyphomonas neptunium	nan	33,5
180	Leptospirillum ferrooxidans	nan	33,5
1642	Listeria innocua	nan	33,5
1638	Listeria ivanovii	nan	33,5
1639	Listeria monocytogenes	nan	33,5
1640	Listeria seeligeri	nan	33,5
1643	Listeria welshimeri	nan	33,5
44251	Paenibacillus durus	nan	33,5
172713	Paenibacillus kribbensis	nan	33,5
162209	Paenibacillus naphthalenovorans	nan	33,5
266	Paracoccus denitrificans	nan	33,5
839	Prevotella ruminicola	nan	33,5
361575	Pseudarthrobacter phenanthrenivorans	nan	33,5
43675	Rothia mucilaginosa	nan	33,5
47917	Serratia fonticola	nan	33,5
614	Serratia liquefaciens	nan	33,5
615	Serratia marcescens	nan	33,5
28151	Serratia proteamaculans	nan	33,5
61652	Serratia rubidaea	nan	33,5
46355	Spirochaeta africana	nan	33,5
1280	Staphylococcus aureus	nan	33,5
1282	Staphylococcus epidermidis	nan	33,5
96773	Thauera chlorobenzoica	nan	33,5
29466	Veillonella parvula	nan	33,5
292566	Dactylococcopsis salina	nan	34
480	Moraxella catarrhalis	nan	34
29433	Moraxella ovis	nan	34
83552	Parachlamydia acanthamoebae	nan	34,5
2137	Spiroplasma apis	nan	34,5
1449	Amphibacillus xylanus	nan	35
1390	Bacillus amyloliquefaciens	nan	35
85701	Bartonella tribocorum	nan	35
1534	Clostridium kluyveri	nan	35
1509	Clostridium sporogenes	nan	35
152794	Corynebacterium efficiens	nan	35
897	Desulfococcus multivorans	nan	35
69966	Macrococcus caseolyticus	nan	35
33970	Melissococcus plutonius	nan	35
-1	Mycobacterium smegmatis	nan	35
495	Neisseria elongata	nan	35
37329	Nocardia farcinica	nan	35
37330	Nocardia nova	nan	35
-1	Pelobacter carbinolicus	nan	35
300	Pseudomonas mendocina	nan	35
-1	Pseudomonas stutzeri	nan	35
782	Rickettsia prowazekii	nan	35
785	Rickettsia typhi	nan	35
76731	Roseateles depolymerans	nan	35
257708	Roseomonas gilardii	nan	35
29388	Staphylococcus capitis	nan	35
1283	Staphylococcus haemolyticus	nan	35
28035	Staphylococcus lugdunensis	nan	35
1292	Staphylococcus warneri	nan	35
316277	Syntrophus aciditrophicus	nan	35
63186	Zobellia galactanivorans	nan	35
1684	Bifidobacterium asteroides	nan	35,5
485	Neisseria gonorrhoeae	nan	35,5
486	Neisseria lactamica	nan	35,5
730	[Haemophilus] ducreyi	nan	36
-1	[Haemophilus] parasuis	nan	36
544580	Actinomyces oris	nan	36
111015	Actinomyces radicidentis	nan	36
56426	Bartonella clarridgeiae	nan	36
33045	Bartonella grahamii	nan	36
38323	Bartonella henselae	nan	36
803	Bartonella quintana	nan	36
33047	Bartonella vinsonii	nan	36
521	Bordetella avium	nan	36
518	Bordetella bronchiseptica	nan	36
103855	Bordetella hinzii	nan	36
35814	Bordetella holmesii	nan	36
519	Bordetella parapertussis	nan	36
520	Bordetella pertussis	nan	36
123899	Bordetella trematum	nan	36
197	Campylobacter jejuni	nan	36
28188	Capnocytophaga canimorsus	nan	36
45243	Capnocytophaga haemolytica	nan	36
1018	Capnocytophaga ochracea	nan	36
29341	Clostridium argentinense	nan	36
38289	Corynebacterium jeikeium	nan	36
-1	Desulfotomaculum gibsoniae	nan	36
37734	Enterococcus casseliflavus	nan	36
53345	Enterococcus durans	nan	36
1351	Enterococcus faecalis	nan	36
1352	Enterococcus faecium	nan	36
1353	Enterococcus gallinarum	nan	36
1354	Enterococcus hirae	nan	36
53346	Enterococcus mundtii	nan	36
851	Fusobacterium nucleatum	nan	36
2702	Gardnerella vaginalis	nan	36
727	Haemophilus influenzae	nan	36
729	Haemophilus parainfluenzae	nan	36
29546	Lawsonia intracellularis	nan	36
446	Legionella pneumophila	nan	36
40542	Leptotrichia buccalis	nan	36
266009	Methylovorus glucosotrophus	nan	36
2051	Mobiluncus curtisii	nan	36
582	Morganella morganii	nan	36
37326	Nocardia brasiliensis	nan	36
28251	Ornithobacterium rhinotracheale	nan	36
-1	Pseudopropionibacterium propionicum	nan	36
2047	Rothia dentocariosa	nan	36
34105	Streptobacillus moniliformis	nan	36
1348	Streptococcus parauberis	nan	36
863	Syntrophomonas wolfei	nan	36
29575	Taylorella equigenitalis	nan	36
134821	Ureaplasma parvum	nan	36
666	Vibrio cholerae	nan	36
1747	Cutibacterium acnes	nan	36,5
487	Neisseria meningitidis	nan	36,5
2130	Ureaplasma urealyticum	nan	36,5
-1	[Clostridium] saccharolyticum	nan	37
-1	[Eubacterium] eligens	nan	37
39491	[Eubacterium] rectale	nan	37
143393	[Eubacterium] sulci	nan	37
