ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
59600	Cellulophaga algicola		15	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga
81479	Rhodoferax antarcticus		15	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
1238	Piscirickettsia salmonis		16,5	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia
1646	Renibacterium salmoninarum		16,5	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Renibacterium
76594	Cellulophaga baltica		17,5	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga
96345	Flavobacterium psychrophilum		17,5	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
392734	Terriglobus roseus		17,5	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus
45610	Psychrobacter urativorans		18	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter
101385	Aequorivita sublithincola		20	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita
191579	Fluviicola taffensis		20	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola
188932	Pedobacter cryoconitis		20	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
296	Pseudomonas fragi		20	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
56	Sorangium cellulosum		20	Bacteria	Myxococcota		Polyangiales	Polyangiaceae	Sorangium
55601	Vibrio anguillarum		20	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
74033	Antarctobacter heliothermus		21	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Antarctobacter
56812	Shewanella frigidimarina		21	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
313588	Croceibacter atlanticus		21,5	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter
55197	Flavobacterium branchiophilum		21,5	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
168695	Salinispora tropica		21,5	Bacteria	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Salinispora
1247	Oenococcus oeni		22	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus
51663	Pediococcus damnosus		22	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus
43948	Tolumonas auensis		22	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas
40214	Acinetobacter johnsonii		22,5	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
656366	Arthrobacter alpinus		22,5	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter
1703	Brevibacterium linens		22,5	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium
74318	Maricaulis maris		22,5	Bacteria	Pseudomonadota	Alphaproteobacteria	Maricaulales	Maricaulaceae	Maricaulis
412690	Microterricola viridarii		22,5	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microterricola
37332	Nocardia seriolae		22,5	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia
34090	Pelodictyon phaeoclathratiforme		22,5	Bacteria	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Pelodictyon
121292	Pseudarthrobacter sulfonivorans		22,5	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter
132919	Rhodococcus jostii		22,5	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus
60961	Shewanella woodyi		22,5	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
466153	Singulisphaera acidiphila		23	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera
645	Aeromonas salmonicida		23,5	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
79329	Chitinophaga pinensis		23,5	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga
53444	Lactobacillus lindneri		23,5	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus
168697	Salinispora arenicola		24	Bacteria	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Salinispora
28447	Clavibacter michiganensis		24,5	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Clavibacter
